Run number,mpmt run,Date,Start Time,Stop Time,Beam MeV/c,Index for pi/u sep,Index for e-veto,Lead Glass In,Dead Time,Electron Veto Pre-Scale,Trigger Config,Beam configuration file number,Slit collimator,Triggers/spill,# spills,Target,VME Comments,ToolDaq Comments,Column 20
1252,,13/03/2025,,,,1.01,1.006,Y,,,,,,,,,"Runs for 1pe calibration, HV tuning during beam commissioning. Rreference HV for all detectors (TOF bias voltage = 33V and others values in e-log)",,
1253,,13/03/2025,,,,1.01,1.006,Y,,,,,,,,,HV reference + 50 V and 33.5V for TOF,,
1254,,13/03/2025,,,,1.01,1.006,Y,,,,,,,,,HV reference - 50 V and 32.5V for TOF,,
1255,,14/03/2025,,,5000,1.01,1.006,Y,,,,,,,,,Same as 1254 but better TOF signal,,
1256,,14/03/2025,,,1000 and 5000,1.01,1.006,Y,,,,,,,,,"TOF voltage = 32.6V, others +10V respect 1255 (not enough data)",,
1257,,14/03/2025,,,1000,1.01,1.006,Y,,,,,,,,,"TOF voltage = 32.7V, others +10V respect 1256 (not enough data)",,
1258,,,,,,1.015,1.01,,,,,,,,,,,,
1259,,,,,,,,,,,,,,,,,,,
1260,,,,,,,,,,,,,,,,,,,
1261,,,,,,,,,,,,,,,,,,,
1262,,,,,,,,,,,,,,,,,,,
1263,,,,,,,,,,,,,,,,,,,
1264,,,,,,,,,,,,,,,,,,,
1265,,,,,,,,,,,,,,,,,,,
1266,,,,,,,,,,,,,,,,,,,
1267,,,,,,,,,,,,,,,,,,,
1268,,,,,,,,,,,,,,,,,,,
1269,,,,,,,,,,,,,,,,,,,
1270,,,,,,,,,,,,,,,,,,,
1271,,,,,,,,,,,,,,,,,,,
1272,,,,,,,,,,,,,,,,,,,
1273,,,,,,,,,,,,,,,,,,,
1274,,,,,,,,,,,,,,,,,,,
1275,,,,,,,,,,,,,,,,,,,
1276,,,,,,,,,,,,,,,,,,,
1277,,,,,,,,,,,,,,,,,,,
1278,,,,,,,,,,,,,,,,,,,
1279,,,,,,,,,,,,,,,,,,,
1280,,,,,,,,,,,,,,,,,,,
1281,,,,,,,,,,,,,,,,,,,
1282,,,,,,,,,,,,,,,,,,,
1283,,,,,,,,,,,,,,,,,,,
1284,,,,,,,,,,,,,,,,,,,
1285,,,,,,,,,,,,,,,,,,,
1286,,,,,,,,,,,,,,,,,,,
1287,,,,,,,,,,,,,,,,,,,
1288,,,,,,,,,,,,,,,,,,,
1294,,22/03/2025,10:32,60,650,1.015,1.01,N,625 (5us),16%,lep_v51,1350,2%,,,,Terminal crashed but output files are ok,,
1295,,22/03/2025,11:34,,650,1.015,1.01,N,625 (5us),16%,lep_v51,1349,1%,,,,,,
1296,,22/03/2025,12:16,,750,1.015,1.01,N,625 (5us),16%,lep_v51,1345,1%,,,,,,
1297,,22/03/2025,12:54,,800,1.015,1.01,N,625 (5us),16%,lep_v51,1346,1%,,,,Raw data files are empty,,
1298,,22/03/2025,13:32,,850,1.015,1.01,N,625 (5us),16%,lep_v51,1348,1%,,,,,,
1299,,22/03/2025,14:33,,900,1.015,1.01,N,625 (5us),16%,lep_v51,1347,1%,,,,,,
1300,,22/03/2025,15:33,,800,1.015,1.01,N,625 (5us),16%,lep_v51,1346,1%,,,,Target 3 Al200,,
1301,,22/03/2025,18:22,,800,-,-,N,31250 (250us),16%,t0tof_v10,1309,1%,,,,"Target 3 Al200, no Pb converter",,
1302,,22/03/2025,,,800,-,-,N,31250 (250us),16%,t0tof_v10,1309,,,,,"Target 3 Al200, no Pb converter",,
1303,,,,,,,,,,,,,,,,,,,
1304,,22/03/2025,,,650,1.015,1.01,Y,,,,,,,,,"Target 3 Al200, no Pb converter",,
1305,,23/03/2025,,,700,1.015,1.01,Y,,,,,,,,,"Target 3 Al200, no Pb converter",,
1306,,23/03/2025,,,750,1.015,1.01,Y,,,,,,,,,"Target 3 Al200, no Pb converter",,
1307,,23/03/2025,,,800,1.015,1.01,Y,,,,,,,,,"Target 3 Al200, no Pb converter",,
1308,,23/03/2025,,,800,1.015,1.01,Y,,,,,,,,,"Target 3 Al200, no Pb converter",,
1309,,23/03/2025,BAD,,,,,,,,,,,,,,,,
1310,,23/03/2025,,,850,1.015,1.01,Y,,,,,,,,,"Target 3 Al200, no Pb converter",,
1311,,23/03/2025,9:30,,900,1.015,1.01,Y,40000,8%,lep_v51,1351,1% (3mm),,,,"Target 3 Al200, no Pb converter",,
1312,,23/03/2025,10:45,,800,1.015,1.01,N,Variable,8%,lep_v51,1355,1% (3mm),,,,"Target 3 Al200, no Pb converter",,
1313,,23/03/2025,11:25,,800,1.015,1.01,N,625 (5us),2%,lep_v51,1355,2% (6mm),,,,,,
1314,,23/03/2025,11:39,,800,1.015,1.01,N,625 (5us),2%,lep_v51,1355,1% (3mm),,,,,,
1318,,23/03/2025,12:43,,800,1.015,1.01,N,4000 (32us),2%,lep_v51,1355,1% (3mm),,,,Readout 2 QDC boards,,
1319,,23/03/2025,16:05,,800,1.015,1.01,N,4000 (32us),2%,lep_v51,1355,1% (3mm),,,,,,
1320,,23/03/2025,18:43,,780,1.015,1.01,N,4000 (32us),2%,lep_v51,,1% (3mm),,,,,,
1321,,23/03/2025,19:56,20:57,790,1.015,1.01,N,4000 (32us),2%,lep_v51,,1% (3mm),,,,,,
1322,,23/03/2025,21:10,22:13,800,1.015,1.01,N,625 (5us),2%,lep_v51,,1% (3mm),,,,Upstream collimator changed from 30mm to 20mm,,
1323,,23/03/2025,22:20,23:44,810,1.015,1.01,N,625 (5us),2%,lep_v51,1361,1% (3mm),,,,Upstream collimator changed from 30mm to 20mm,,
1324,,24/03/2025,0:03,1:13,820,1.015,1.01,N,625 (5us),2%,lep_v51,1362,1%(3mm),,,,Upstream collimator changed from 30mm to 20mm,,
1325,,24/03/2025,1:32,2:40,820,1.015,1.01,Y,625 (5us),2%,lep_v51,,1%(3mm),,,,Upstream collimator changed from 30mm to 20mm,,
